age,birthreg,cbsasz,disability,educrec,elignatz,entryc,famstruct,forborn,govtemp,health,hhhsize,inscov,male,marst,natz,ownchild,ownhome,pernum,perwt,povpct,race,serial,statefip,statereg,tmetro_intv,veteran,work,year
50,0,0,0,3,0,NA,1,0,0,3,2,1,0,1,0,0,1,1,1160,491.16629,1,51,23,5,1,0,1,2016
53,0,0,0,2,0,NA,1,0,0,3,2,1,1,1,0,0,1,2,1160,491.16629,1,51,23,5,1,0,1,2016
50,0,0,0,4,0,NA,1,0,1,1,2,1,1,1,0,0,1,1,1247,500,1,53,23,5,1,0,1,2016
50,0,0,0,4,0,NA,1,0,0,2,2,1,0,1,0,0,1,2,1247,500,1,53,23,5,1,0,1,2016
52,0,0,0,4,0,NA,5,0,0,1,2,1,0,6,0,0,1,1,1150,348.71463,1,54,23,5,1,0,1,2016
47,0,0,0,4,0,NA,5,0,0,1,2,1,0,6,0,0,1,2,1150,364.9339,1,54,23,5,1,0,1,2016
48,0,0,0,2,0,NA,1,0,0,1,2,1,1,1,0,0,1,1,1270,225.57495,1,55,23,5,1,0,1,2016
45,0,0,0,3,0,NA,1,0,0,1,2,1,0,1,0,0,1,2,1270,225.57495,1,55,23,5,1,0,1,2016
56,0,0,0,3,1,6,1,0,0,2,3,1,0,1,0,1,1,1,611,500,1,62,23,5,1,0,1,2016
53,0,0,0,4,0,NA,1,0,0,3,3,1,1,1,0,1,1,2,611,500,1,62,23,5,1,0,1,2016
16,0,0,0,1,0,NA,1,0,0,1,3,1,1,6,0,0,1,3,604,500,1,62,23,5,1,0,4,2016
35,0,0,0,4,0,NA,1,0,1,2,4,1,0,1,0,1,1,1,767,445.04077,1,64,23,5,1,0,1,2016
36,0,0,0,4,0,NA,1,0,0,2,4,1,1,1,0,1,1,2,767,445.04077,1,64,23,5,1,0,1,2016
10,0,0,0,1,0,NA,1,0,0,1,4,1,1,6,0,0,1,3,633,445.04077,1,64,23,5,1,0,0,2016
9,0,0,0,1,0,NA,1,0,0,1,4,1,1,6,0,0,1,4,734,445.04077,1,64,23,5,1,0,0,2016
40,0,0,0,3,0,NA,1,0,0,2,4,1,0,1,0,1,1,1,766,333.68698,1,65,23,5,1,0,1,2016
45,0,0,0,2,0,NA,1,0,0,3,4,1,1,1,0,1,1,2,766,333.68698,1,65,23,5,1,0,1,2016
13,0,0,0,1,0,NA,1,0,0,1,4,1,1,6,0,0,1,3,888,333.68698,1,65,23,5,1,0,0,2016
10,0,0,0,1,0,NA,1,0,0,1,4,1,0,6,0,0,1,4,605,333.68698,1,65,23,5,1,0,0,2016
46,0,0,0,2,0,NA,2,0,0,3,3,1,1,4,0,1,1,1,601,225.3905,1,67,23,5,1,0,1,2016
18,0,0,0,1,0,NA,2,0,0,3,3,1,1,4,0,0,1,2,923,225.3905,1,67,23,5,1,0,4,2016
15,0,0,0,1,0,NA,2,0,0,3,3,1,0,6,0,0,1,3,719,225.3905,1,67,23,5,1,0,4,2016
62,0,0,0,4,0,NA,1,0,0,3,2,1,1,1,0,0,1,1,678,500,3,69,23,5,1,1,1,2016
63,0,0,0,4,0,NA,1,0,1,3,2,1,0,1,0,0,1,2,678,500,1,69,23,5,1,0,1,2016
37,0,0,0,3,0,NA,1,0,0,3,4,1,0,1,0,1,1,1,692,416.83307,1,70,23,5,1,0,4,2016
58,0,0,0,4,0,NA,1,0,0,3,4,1,1,1,0,1,1,2,692,416.83307,1,70,23,5,1,0,1,2016
2,0,0,0,1,0,NA,1,0,0,1,4,1,0,6,0,0,1,3,638,416.83307,1,70,23,5,1,0,0,2016
1,0,0,0,1,0,NA,1,0,0,1,4,1,1,6,0,0,1,4,885,416.83307,1,70,23,5,1,0,0,2016
45,0,0,0,1,0,NA,3,0,0,3,2,1,0,6,0,1,0,1,655,63.977474,1,72,23,5,1,0,3,2016
13,0,0,0,1,0,NA,3,0,0,3,2,1,0,6,0,0,0,2,564,63.977474,1,72,23,5,1,0,0,2016
35,0,0,0,2,0,NA,5,0,0,2,2,1,0,6,0,0,0,1,1380,335.42291,1,76,23,5,1,0,1,2016
26,0,0,0,2,0,NA,4,0,0,2,2,0,1,6,0,0,0,2,2071,198.68623,1,76,23,5,1,0,1,2016
66,0,0,0,2,0,NA,5,0,0,3,1,1,0,4,0,0,1,1,1170,447.04846,1,80,23,5,1,0,5,2016
58,0,0,0,2,0,NA,1,0,0,2,2,1,0,1,0,0,1,1,1117,500,1,81,23,5,1,0,1,2016
68,0,0,0,3,0,NA,1,0,0,3,2,1,1,1,0,0,1,2,1117,500,1,81,23,5,1,1,1,2016
21,0,0,0,3,0,NA,4,0,0,2,1,1,1,6,0,0,0,1,1322,162.51723,1,82,23,5,1,0,1,2016
41,1,0,0,4,1,2,1,0,0,1,3,1,0,1,0,1,1,1,736,377.92221,1,83,23,5,1,0,1,2016
47,0,0,0,4,0,NA,1,0,0,1,3,1,1,1,0,1,1,2,736,377.92221,1,83,23,5,1,0,1,2016
6,0,0,0,1,0,NA,1,0,0,1,3,1,1,6,0,0,1,3,894,377.92221,1,83,23,5,1,0,0,2016
35,0,0,0,3,0,NA,4,0,0,3,1,1,1,6,0,0,0,1,1151,259.50854,1,84,23,5,1,0,1,2016
85,0,0,1,2,0,NA,5,0,0,3,1,1,0,5,0,0,0,1,1198,213.93507,1,85,23,5,1,0,5,2016
71,0,0,0,1,0,NA,1,0,0,3,2,1,1,1,0,0,1,1,1394,121.48541,1,86,23,5,1,0,5,2016
70,0,0,0,1,0,NA,1,0,0,3,2,1,0,1,0,0,1,2,1394,121.48541,1,86,23,5,1,0,5,2016
54,0,0,0,2,0,NA,1,0,0,2,2,1,1,1,0,0,1,1,1270,396.95673,1,87,23,5,1,0,1,2016
45,0,0,0,3,0,NA,1,0,0,4,2,1,0,1,0,0,1,2,1270,396.95673,1,87,23,5,1,0,1,2016
78,0,0,0,2,0,NA,5,0,0,2,1,1,0,5,0,0,1,1,1132,355.56436,1,88,23,5,1,0,5,2016
67,0,0,0,4,0,NA,1,0,0,4,2,1,0,1,0,0,1,1,1170,386.12314,1,89,23,5,1,0,5,2016
